-0.066,-0.103,0.165
-0.176,-0.133,0.095
-0.141,-0.128,0.112
-0.167,-0.157,0.061
-0.247,-0.104,0.219
-0.241,-0.107,0.172
-0.246,-0.110,0.168
-0.182,-0.126,0.118
-0.265,-0.105,0.196
-0.170,-0.132,0.096
-0.131,-0.160,0.088
-0.235,-0.118,0.143
-0.601,-0.090,0.330
-0.446,-0.062,0.293
-0.257,-0.097,0.240
-0.283,-0.079,0.208
-0.289,-0.079,0.177
-0.176,-0.070,0.069
-0.190,-0.100,-0.057
-0.176,-0.076,0.027
-0.208,-0.075,0.042
-0.231,-0.072,0.065
-0.214,-0.072,0.072
-0.235,-0.064,0.061
-0.196,-0.076,0.016
-0.200,-0.077,0.013
-0.202,-0.079,0.041
-0.245,-0.067,0.081
-0.120,-0.096,-0.101
-0.250,-0.069,0.067
-0.234,-0.084,0.018
-0.218,-0.083,0.006
-0.253,-0.069,0.057
-0.279,-0.067,0.064
-0.409,-0.085,0.094
-0.241,-0.072,0.044
-0.220,-0.079,0.033
-0.262,-0.066,0.071
-0.227,-0.070,0.073
-0.236,-0.067,0.099
-0.226,-0.065,0.127
-0.222,-0.069,0.091
-0.220,-0.065,0.122
-0.233,-0.074,0.094
-0.235,-0.069,0.077
-0.249,-0.068,0.083
-0.243,-0.070,0.064
-0.224,-0.072,0.052
-0.317,-0.078,-0.023
-0.254,-0.074,0.081
-0.335,-0.075,-0.010
-0.236,-0.076,0.044
-0.276,-0.070,-0.004
-0.228,-0.073,0.093
-0.224,-0.073,0.045
-0.237,-0.070,0.059
-0.196,-0.067,0.060
-0.191,-0.076,0.042
-0.225,-0.076,0.034
-0.209,-0.079,0.037
-0.216,-0.080,0.007
-0.212,-0.074,0.035
-0.246,-0.066,0.089
-0.221,-0.071,0.060
-0.229,-0.075,0.027
-0.215,-0.079,0.019
-0.238,-0.071,0.050
-0.220,-0.078,0.014
-0.242,-0.071,0.058
-0.241,-0.073,0.036
-0.275,-0.078,0.001
-0.237,-0.067,0.079
-0.244,-0.067,0.080
-0.231,-0.073,0.040
-0.192,-0.072,0.061
-0.251,-0.082,-0.011
-0.283,-0.077,0.044
-0.231,-0.080,0.007
0.573,-0.395,-0.093
0.552,-0.404,-0.115
0.543,-0.408,-0.121
0.536,-0.407,-0.121
0.613,-0.399,-0.061
0.578,-0.397,-0.071
0.508,-0.406,-0.116
0.500,-0.402,-0.125
0.529,-0.404,-0.096
0.502,-0.397,-0.122
0.540,-0.392,-0.086
0.485,-0.408,-0.123
0.473,-0.391,-0.124
0.478,-0.389,-0.118
0.523,-0.401,-0.089
0.487,-0.405,-0.113
0.964,-0.797,0.113
0.540,-0.398,-0.075
0.468,-0.391,-0.122
0.539,-0.402,-0.069
0.464,-0.404,-0.127
0.459,-0.404,-0.130
0.501,-0.394,-0.089
0.451,-0.401,-0.130
0.519,-0.404,-0.106
0.514,-0.400,-0.075
0.484,-0.392,-0.102
0.444,-0.394,-0.122
1.032,-0.816,0.122
0.963,-0.767,0.157
0.440,-0.400,-0.131
0.427,-0.402,-0.133
0.479,-0.395,-0.093
0.416,-0.393,-0.134
0.414,-0.399,-0.135
0.614,-0.471,-0.005
0.948,-0.788,0.107
0.399,-0.397,-0.143
0.612,-0.428,-0.042
0.407,-0.390,-0.140
0.522,-0.410,-0.054
0.512,-0.398,-0.060
0.453,-0.396,-0.099
0.439,-0.394,-0.107
0.516,-0.416,-0.064
0.515,-0.406,-0.061
0.375,-0.389,-0.146
0.382,-0.382,-0.147
0.416,-0.405,-0.144
0.373,-0.378,-0.150
0.471,-0.398,-0.102
0.419,-0.393,-0.111
0.381,-0.387,-0.138
0.595,-0.434,-0.028
0.410,-0.400,-0.146
0.365,-0.377,-0.142
0.372,-0.384,-0.138
0.442,-0.398,-0.108
0.830,-0.796,0.159
0.389,-0.380,-0.134
0.427,-0.392,-0.089
0.378,-0.383,-0.137
0.502,-0.398,-0.047
0.358,-0.391,-0.126
0.353,-0.392,-0.129
0.405,-0.401,-0.087
0.385,-0.385,-0.120
0.419,-0.413,-0.093
0.358,-0.420,-0.112
0.705,-0.777,0.159
0.341,-0.389,-0.122
0.425,-0.394,-0.088
0.408,-0.382,-0.094
0.544,-0.640,0.022
1.041,-0.757,0.080
0.627,-0.400,-0.054
1.007,-0.761,0.091
0.602,-0.376,-0.049
0.495,-0.404,-0.121
0.942,-0.768,0.216
0.533,-0.401,-0.046
0.934,-0.785,0.271
0.978,-0.773,0.363
0.997,-0.811,0.402
0.978,-0.731,0.357
1.043,-0.790,0.321
0.472,-0.420,-0.134
0.976,-0.718,0.363
0.945,-0.795,0.357
0.970,-0.800,0.398
0.968,-0.849,0.437
0.749,-0.560,-0.041
1.010,-0.760,0.373
0.529,-0.411,-0.114
0.527,-0.411,-0.109
0.493,-0.399,-0.122
0.620,-0.395,-0.056
0.453,-0.390,-0.106
0.369,-0.382,-0.150
0.555,-0.742,0.072
0.944,-0.803,0.396
0.968,-0.814,0.441
0.552,-0.718,0.063
0.930,-0.810,0.477
0.399,-0.419,0.022
1.198,-0.813,0.275
1.018,-0.736,0.072
0.588,-0.418,-0.041
0.452,-0.403,-0.125
0.393,-0.400,-0.144
1.026,-0.759,0.108
0.581,-0.403,-0.073
0.362,-0.384,-0.123
0.937,-0.707,0.468
1.011,-0.830,0.075
0.407,-0.450,-0.031
0.616,-0.397,-0.099
1.052,-0.774,0.028
1.007,-0.749,0.039
0.604,-0.402,-0.101
0.997,-0.772,0.063
0.635,-0.411,-0.068
0.637,-0.402,-0.058
0.348,-0.381,-0.133
1.037,-0.754,0.097
0.454,-0.407,-0.129
0.469,-0.397,-0.119
0.481,-0.424,-0.258
